employee_id,employee_name,age,gender,department,job_role,education,location,hire_date,years_at_company,manager_id,attendance_date,attendance_status,check_in,check_out,late_minutes,working_hours,gps_checkin,face_recognition,biometric_status,qr_checkin,shift_type,overtime_hours,shift_swap_requested,leave_type,leave_days_taken,leave_balance,leave_approval,timesheet_hours,project_hours,billable_hours,basic_salary,bonus,deduction,net_salary,kpi_score,goal_completion_percent,productivity_score,performance_rating,training_hours,skill,skill_gap_score,engagement_score,sentiment,attrition_status,attrition_risk_score,absenteeism_risk,workforce_forecast_need,manager_alert,hr_alert,work_anniversary,birthday_month
EMP00441,Employee_441,57,Male,Operations,Analyst,MCA,Chennai,2022-02-08,5,MGR010,2026-08-01,WFH,08:08,19:36,0,8.2,Yes,Verified,Failed,Yes,Morning,3.4,No,Casual,14,13,Rejected,7.8,5.2,5.3,115013,8680,6634,117059,51,100,60,2,16,Python,42,91,Positive,No,87,88,High,Late,Attrition,2026-02-08,12
EMP00574,Employee_574,59,Female,IT,Engineer,B.Tech,Bhubaneswar,2019-02-08,4,MGR038,2026-08-01,Present,09:27,20:53,0,10.0,Yes,Verified,Success,Yes,Evening,1.1,No,Casual,11,1,Pending,6.2,4.4,4.8,45285,12333,747,56871,53,92,82,4,59,SQL,46,64,Neutral,No,93,61,High,Late,Attrition,2026-02-08,11
EMP00947,Employee_947,56,Female,Marketing,Specialist,MBA,Delhi,2020-04-04,10,MGR058,2026-08-01,Present,10:04,18:03,69,8.2,Yes,Verified,Success,Yes,Night,5.7,Yes,Earned,12,9,Approved,7.5,6.5,5.9,58608,1098,7235,52471,78,74,89,5,40,Excel,58,70,Positive,No,19,20,Medium,Late,,2026-04-04,7
EMP00998,Employee_998,40,Female,Marketing,Specialist,MCA,Pune,2023-01-22,6,MGR011,2026-08-01,Present,09:59,18:03,0,8.0,Yes,Verified,Failed,Yes,Morning,1.4,No,Casual,17,12,Rejected,8.6,8.0,3.1,100986,15928,9067,107847,72,92,86,5,10,HRMS,32,48,Positive,No,10,15,Low,Performance,Payroll,2026-01-22,7
EMP00504,Employee_504,58,Male,IT,Engineer,B.Tech,Bhubaneswar,2020-01-14,9,MGR041,2026-08-01,Absent,09:13,20:51,0,7.2,Yes,Failed,Success,Yes,Morning,5.4,No,Casual,3,3,Rejected,8.7,4.1,5.9,31899,8676,8920,31655,96,47,81,4,67,AWS,21,49,Positive,No,20,47,High,Performance,,2026-01-14,9
EMP00606,Employee_606,55,Male,HR,Analyst,B.Tech,Chennai,2022-06-30,11,MGR032,2026-08-01,Present,09:00,19:39,0,8.2,Yes,Verified,Failed,Yes,Evening,4.0,No,Earned,18,4,Rejected,8.7,6.6,6.6,110070,12124,6591,115603,50,59,65,2,39,SAP,32,47,Negative,No,30,40,Low,,Compliance,2026-06-30,8
EMP01717,Employee_1717,22,Male,Marketing,Coordinator,Bachelor,Bhubaneswar,2019-05-16,11,MGR036,2026-08-01,Present,10:13,20:07,78,9.4,Yes,Failed,Success,Yes,Morning,0.3,Yes,Sick,17,3,Approved,8.8,7.8,6.0,88637,13322,3957,98002,85,73,58,2,3,HRMS,33,82,Neutral,No,58,18,High,,,2026-05-16,10
EMP01164,Employee_1164,21,Female,HR,Manager,MCA,Chennai,2024-02-25,5,MGR027,2026-08-01,Present,10:01,18:49,76,9.9,Yes,Failed,Success,Yes,Night,2.1,No,Sick,12,8,Pending,6.6,7.3,2.8,93850,2247,1503,94594,57,93,62,2,22,HRMS,91,85,Neutral,No,73,53,Low,Late,,2026-02-25,12
EMP01787,Employee_1787,21,Female,Support,Coordinator,Master,Delhi,2023-11-29,2,MGR026,2026-08-01,Present,08:17,20:29,0,7.7,Yes,Verified,Success,Yes,Morning,5.2,Yes,,6,24,Approved,7.9,4.0,7.2,46005,13638,656,58987,97,57,60,3,64,Power BI,30,87,Neutral,No,25,55,Low,,,2026-11-29,11
EMP00847,Employee_847,45,Male,Finance,Analyst,B.Tech,Delhi,2020-09-16,10,MGR019,2026-08-01,Present,08:17,19:25,0,9.2,Yes,Verified,Success,Yes,Morning,0.6,No,Casual,1,15,Rejected,7.7,7.9,2.4,123760,8451,642,131569,72,93,63,5,51,HRMS,76,99,Positive,No,34,17,Medium,Performance,Compliance,2026-09-16,4
EMP00004,Employee_4,31,Female,HR,Coordinator,MBA,Delhi,2024-01-09,5,MGR065,2026-08-01,Absent,09:55,20:19,0,9.5,Yes,Failed,Failed,Yes,Morning,1.1,Yes,Sick,20,24,Approved,7.6,7.1,5.2,39621,9617,7123,42115,50,78,70,4,62,Python,14,99,Neutral,No,49,30,Low,Late,,2026-01-09,2
EMP01287,Employee_1287,40,Female,Marketing,Executive,Bachelor,Pune,2020-05-19,3,MGR015,2026-08-01,Present,08:33,20:37,0,8.0,Yes,Verified,Success,Yes,Morning,0.0,No,Earned,2,17,Pending,6.4,6.3,7.5,78230,15455,5036,88649,81,47,70,5,47,HRMS,1,51,Neutral,No,48,16,Low,Performance,Compliance,2026-05-19,12
EMP01223,Employee_1223,43,Male,HR,Specialist,Master,Chennai,2019-11-18,7,MGR031,2026-08-01,Present,09:54,20:32,0,8.0,Yes,Verified,Failed,Yes,Night,3.8,Yes,Sick,20,12,Rejected,6.6,6.1,5.7,109523,8825,5305,113043,77,45,92,5,76,Python,44,60,Negative,No,72,46,Low,,Compliance,2026-11-18,10
EMP00468,Employee_468,55,Male,Marketing,Analyst,B.Tech,Bangalore,2024-02-18,8,MGR051,2026-08-01,Present,09:48,20:28,0,8.8,Yes,Verified,Success,Yes,Morning,6.2,Yes,,0,9,Approved,6.6,7.3,5.5,59854,17518,6555,70817,98,86,65,3,45,Power BI,26,85,Neutral,No,23,29,Low,Performance,Attrition,2026-02-18,1
EMP00322,Employee_322,45,Male,Finance,Coordinator,MBA,Pune,2018-11-10,12,MGR003,2026-08-01,Present,09:47,19:46,0,9.0,Yes,Verified,Success,Yes,Morning,4.0,Yes,Sick,11,9,Rejected,7.5,7.4,3.5,44234,19967,1656,62545,53,63,86,2,60,Excel,97,99,Neutral,No,45,95,High,Late,Payroll,2026-11-10,9
EMP00006,Employee_6,51,Male,Support,Executive,B.Tech,Bangalore,2023-06-12,3,MGR013,2026-08-01,Present,09:22,19:26,0,8.4,Yes,Failed,Success,Yes,Night,2.7,Yes,,17,12,Rejected,7.0,7.4,3.5,119811,18711,9440,129082,62,74,78,3,17,HRMS,23,57,Neutral,No,41,9,Medium,,,2026-06-12,11
EMP00223,Employee_223,46,Male,HR,Coordinator,Bachelor,Chennai,2021-02-17,8,MGR020,2026-08-01,Present,09:11,18:45,0,7.1,Yes,Failed,Failed,Yes,Morning,3.2,No,,3,26,Rejected,8.4,6.6,6.3,63554,4068,8759,58863,56,64,94,3,39,SAP,6,78,Positive,No,16,98,Medium,Late,Compliance,2026-02-17,6
EMP01375,Employee_1375,32,Male,Support,Executive,Master,Bangalore,2018-07-15,2,MGR027,2026-08-01,Present,08:40,18:19,0,7.2,Yes,Failed,Success,Yes,Morning,4.1,No,Earned,14,5,Approved,8.3,7.1,4.8,53170,13253,4121,62302,92,92,96,2,37,Power BI,82,79,Positive,No,22,4,Low,Performance,Compliance,2026-07-15,8
